Order ID,Customer ID,Category,Sales,Quantity,Discount,Profit,Order Date,Region
10001,1102,Furniture,566.97,1,0.1,80.18,2025-01-07,South
10002,1435,Office Supplies,171.39,3,0.1,12.27,2027-03-08,East
10003,1860,Office Supplies,497.26,8,0.0,104.97,2025-09-27,West
10004,1270,Furniture,477.44,9,0.0,109.1,2027-01-11,South
10005,1106,Office Supplies,509.45,7,0.1,-0.07,2023-07-16,East
10006,1071,Furniture,517.06,7,0.0,67.52,2024-04-11,West
10007,1700,Office Supplies,331.58,8,0.0,52.89,2025-01-23,Central
10008,1020,Technology,149.25,6,0.2,-13.5,2026-11-29,West
10009,1614,Furniture,588.18,3,0.1,100.49,2024-07-29,South
10010,1121,Office Supplies,439.12,1,0.0,111.32,2025-10-06,Central
10011,1466,Office Supplies,379.84,7,0.1,3.69,2022-03-03,East
10012,1214,Technology,155.22,1,0.15,-21.04,2025-03-11,Central
10013,1330,Furniture,252.83,1,0.0,15.35,2027-02-09,East
10014,1458,Office Supplies,421.93,9,0.0,46.84,2024-01-04,East
10015,1087,Technology,1064.12,7,0.3,-148.67,2027-03-07,West
10016,1372,Office Supplies,184.4,4,0.0,33.81,2025-02-08,West
10017,1099,Furniture,312.87,6,0.0,82.75,2026-06-28,West
10018,1871,Office Supplies,620.04,1,0.05,117.04,2026-03-31,South
10019,1663,Office Supplies,202.46,7,0.15,-2.29,2024-02-21,South
10020,1130,Office Supplies,623.85,6,0.0,93.47,2026-08-22,West
10021,1661,Office Supplies,123.16,4,0.0,21.8,2025-03-26,South
10022,1308,Technology,145.05,7,0.0,36.63,2023-06-23,Central
10023,1769,Technology,689.53,3,0.3,-96.83,2023-08-20,Central
10024,1343,Furniture,541.95,1,0.0,150.35,2022-01-09,South
10025,1491,Technology,782.55,4,0.1,60.3,2022-10-03,South
10026,1413,Technology,855.27,3,0.3,3.1,2022-08-15,Central
10027,1805,Furniture,702.42,1,0.0,54.75,2022-07-05,East
10028,1385,Technology,147.17,2,0.3,-4.09,2023-08-14,Central
10029,1191,Technology,311.99,5,0.3,-86.36,2025-05-24,Central
10030,1955,Furniture,43.17,8,0.2,-3.64,2023-03-09,South
10031,1276,Furniture,367.91,1,0.0,76.71,2023-07-23,Central
10032,1160,Furniture,521.41,4,0.1,24.38,2023-10-18,South
10033,1459,Office Supplies,577.26,4,0.15,-48.27,2022-12-22,South
10034,1313,Office Supplies,302.81,5,0.3,-82.53,2024-04-22,West
10035,1021,Furniture,275.93,7,0.0,15.33,2023-01-27,Central
10036,1252,Furniture,396.84,8,0.15,-35.87,2023-08-02,East
10037,1747,Furniture,385.19,6,0.0,29.89,2025-07-22,West
10038,1856,Office Supplies,241.2,1,0.0,26.5,2026-02-26,South
10039,1560,Office Supplies,165.73,7,0.05,7.78,2026-06-29,South
10040,1474,Technology,297.08,3,0.15,25.21,2026-01-14,East
10041,1058,Technology,502.76,6,0.05,31.35,2023-02-24,South
10042,1510,Furniture,354.01,8,0.05,13.65,2026-09-20,Central
10043,1681,Office Supplies,102.11,7,0.3,-14.19,2022-06-13,West
10044,1475,Office Supplies,97.51,6,0.0,25.79,2024-02-18,South
10045,1699,Office Supplies,457.24,9,0.1,45.16,2026-05-06,South
10046,1975,Furniture,393.02,9,0.0,48.74,2023-09-30,East
10047,1782,Technology,458.56,1,0.0,87.31,2026-06-04,Central
10048,1189,Furniture,604.28,1,0.1,79.15,2025-04-21,South
10049,1957,Technology,405.13,1,0.3,-18.88,2025-08-26,East
10050,1686,Technology,228.73,8,0.05,39.26,2022-01-17,South
10051,1957,Furniture,399.04,7,0.15,51.55,2023-03-22,East
10052,1562,Technology,346.66,3,0.0,92.74,2022-06-19,East
10053,1875,Technology,550.73,2,0.0,107.25,2025-07-27,Central
10054,1566,Office Supplies,780.06,4,0.05,76.94,2027-04-21,South
10055,1243,Technology,204.88,3,0.0,43.11,2027-01-14,Central
10056,1831,Furniture,732.99,7,0.0,186.58,2022-12-06,East
10057,1504,Furniture,320.14,8,0.05,4.8,2023-12-27,West
10058,1130,Technology,309.09,6,0.0,92.11,2026-09-30,South
10059,1484,Office Supplies,774.29,3,0.0,74.12,2026-03-23,West
10060,1818,Office Supplies,707.62,6,0.05,73.24,2027-04-18,South
10061,1646,Technology,302.96,2,0.1,39.86,2024-10-31,Central
10062,1020,Technology,224.88,7,0.3,-62.57,2026-03-28,Central
10063,1840,Furniture,524.95,7,0.1,32.33,2026-07-04,Central
10064,1166,Technology,430.43,4,0.05,9.55,2022-05-13,Central
10065,1273,Office Supplies,295.98,8,0.3,-63.83,2024-06-19,Central
10066,1387,Technology,695.74,4,0.15,-61.78,2023-10-02,West
10067,1600,Furniture,345.71,7,0.0,48.71,2025-03-17,Central
10068,1315,Furniture,237.96,4,0.0,34.12,2026-05-09,East
10069,1013,Furniture,480.85,5,0.1,89.11,2024-04-02,East
10070,1241,Furniture,179.4,7,0.1,29.24,2024-08-11,West
10071,1776,Furniture,287.28,3,0.15,-6.17,2022-03-20,South
10072,1345,Technology,617.61,5,0.15,49.53,2022-12-12,East
10073,1564,Technology,406.17,3,0.1,-5.02,2023-09-01,South
10074,1897,Technology,424.36,5,0.3,-72.55,2025-06-26,West
10075,1339,Technology,280.8,3,0.05,12.13,2023-10-01,South
10076,1091,Furniture,315.89,7,0.0,92.04,2026-04-15,South
10077,1366,Office Supplies,197.67,1,0.2,25.08,2024-11-13,South
10078,1955,Technology,440.95,9,0.0,43.43,2026-02-03,South
10079,1454,Office Supplies,196.33,9,0.15,-3.23,2025-05-09,West
10080,1427,Technology,190.54,5,0.3,-37.46,2022-05-11,East
10081,1508,Technology,336.74,9,0.1,31.38,2026-07-16,Central
10082,1775,Office Supplies,602.93,6,0.1,63.34,2022-12-22,South
10083,1942,Furniture,207.06,5,0.05,12.02,2024-08-01,East
10084,1034,Technology,588.97,3,0.0,140.86,2027-02-06,East
10085,1205,Technology,501.0,8,0.0,63.82,2022-05-30,West
10086,1080,Technology,98.38,4,0.1,18.71,2026-03-30,East
10087,1931,Office Supplies,401.0,3,0.15,32.52,2025-08-20,West
10088,1561,Furniture,201.52,6,0.1,5.04,2026-04-14,South
10089,1871,Office Supplies,369.84,8,0.0,91.53,2022-02-19,South
10090,1387,Office Supplies,303.3,9,0.05,59.38,2023-04-09,Central
10091,1001,Furniture,844.79,6,0.15,3.27,2025-06-17,Central
10092,1389,Office Supplies,490.93,5,0.05,42.23,2026-02-14,Central
10093,1565,Furniture,311.41,2,0.05,75.42,2027-04-14,East
10094,1105,Technology,415.02,2,0.15,-0.47,2023-03-31,South
10095,1771,Furniture,573.95,9,0.1,-16.26,2025-07-30,West
10096,1821,Technology,372.79,2,0.05,43.39,2022-12-01,Central
10097,1476,Office Supplies,807.43,2,0.2,65.47,2025-10-07,West
10098,1702,Office Supplies,381.07,3,0.0,92.57,2023-10-30,West
10099,1401,Technology,447.38,3,0.3,-72.74,2026-07-31,Central
10100,1729,Office Supplies,351.29,4,0.0,64.39,2022-11-23,South
10101,1555,Furniture,252.79,7,0.0,18.96,2024-10-12,Central
10102,1161,Technology,295.1,9,0.2,-22.75,2022-12-02,West
10103,1201,Office Supplies,360.84,2,0.0,88.26,2023-10-28,Central
10104,1957,Technology,640.27,4,0.15,-39.27,2024-09-21,West
10105,1995,Furniture,700.01,9,0.2,-90.1,2022-03-22,West
10106,1269,Furniture,854.97,2,0.2,-64.53,2022-03-28,Central
10107,1862,Office Supplies,249.33,1,0.3,-29.58,2026-12-05,East
10108,1815,Furniture,542.36,8,0.0,147.35,2022-09-15,Central
10109,1270,Technology,658.55,9,0.15,61.31,2024-09-17,East
10110,1455,Furniture,223.07,7,0.0,65.92,2022-07-04,West
10111,1461,Technology,393.21,8,0.05,12.93,2026-09-12,West
10112,1726,Technology,130.99,4,0.2,2.98,2023-11-29,East
10113,1251,Furniture,510.53,4,0.0,129.43,2022-05-03,West
10114,1701,Office Supplies,695.31,2,0.1,19.83,2027-03-28,East
10115,1295,Furniture,167.61,8,0.05,41.67,2025-01-24,East
10116,1724,Technology,262.14,2,0.1,13.11,2023-08-28,West
10117,1719,Technology,257.82,9,0.3,-21.11,2023-05-30,South
10118,1748,Furniture,216.14,4,0.0,58.4,2024-06-22,East
10119,1337,Office Supplies,394.55,1,0.1,62.63,2026-01-06,Central
10120,1878,Office Supplies,488.09,4,0.2,6.19,2026-03-18,Central
10121,1052,Technology,527.93,3,0.05,10.86,2027-06-05,West
10122,1791,Technology,593.11,6,0.0,108.53,2025-10-26,South
10123,1921,Office Supplies,859.8,7,0.1,12.01,2022-11-01,West
10124,1216,Furniture,390.03,8,0.0,96.75,2025-10-12,South
10125,1763,Technology,326.77,2,0.0,78.27,2025-03-17,East
10126,1187,Technology,848.1,6,0.2,66.8,2025-08-01,East
10127,1379,Office Supplies,392.41,6,0.05,6.13,2023-10-19,East
10128,1492,Furniture,294.04,5,0.3,-11.06,2027-02-09,East
10129,1040,Office Supplies,745.94,7,0.2,2.85,2027-03-12,Central
10130,1156,Furniture,333.69,3,0.1,40.69,2027-04-26,Central
10131,1014,Furniture,523.26,4,0.0,43.19,2022-09-19,West
10132,1812,Furniture,286.46,9,0.05,3.97,2026-05-17,South
10133,1064,Technology,505.56,4,0.0,27.91,2023-05-06,East
10134,1856,Office Supplies,531.66,3,0.3,-71.65,2024-01-08,East
10135,1838,Office Supplies,745.18,2,0.0,154.56,2024-11-20,South
10136,1520,Furniture,331.06,5,0.0,98.23,2023-12-03,South
10137,1343,Technology,411.43,4,0.05,43.7,2024-06-05,West
10138,1128,Technology,467.7,8,0.0,62.19,2025-07-15,South
10139,1647,Office Supplies,385.98,7,0.0,79.55,2022-01-12,East
10140,1471,Technology,256.73,6,0.1,39.18,2025-04-29,East
10141,1062,Technology,627.77,2,0.0,178.41,2025-11-24,East
10142,1138,Furniture,401.94,3,0.0,100.8,2026-04-10,East
10143,1498,Technology,154.87,9,0.0,24.26,2027-04-26,East
10144,1592,Furniture,199.18,9,0.15,6.34,2022-04-01,West
10145,1391,Office Supplies,321.42,5,0.1,38.92,2023-08-23,East
10146,1674,Technology,284.06,3,0.05,34.66,2027-02-11,West
10147,1418,Office Supplies,177.62,2,0.1,1.98,2026-03-05,East
10148,1288,Office Supplies,206.17,8,0.0,19.06,2026-12-15,Central
10149,1378,Technology,797.87,6,0.3,-109.07,2022-10-28,Central
10150,1772,Technology,614.25,7,0.0,141.01,2025-02-08,Central
