customer_id,age,gender,city,annual_income,spending_score,membership_years,total_orders,avg_order_value,last_purchase_days,preferred_category,churn
1,56,Male,Chicago,85780.0,57.0,3,16,121,136,Fashion,0
2,69,Male,Phoenix,135614.0,1.0,9,29,282,247,Groceries,1
3,46,Male,Chicago,23178.0,71.0,5,23,290,248,Home,0
4,32,Female,Phoenix,51831.0,58.0,5,24,243,331,Sports,1
5,60,Female,Los Angeles,22176.0,91.0,4,34,158,198,Electronics,0
6,25,Male,New York,123306.0,21.0,3,7,299,1,Home,0
7,38,Female,Chicago,53654.0,92.0,5,38,470,190,Beauty,0
8,56,Female,Chicago,143220.0,80.0,4,37,305,294,Sports,0
9,36,Male,Phoenix,46627.0,56.0,8,4,473,45,Sports,0
10,40,Female,San Francisco,72550.0,87.0,4,34,269,337,Fashion,0
11,28,Male,Los Angeles,132025.0,20.0,8,42,341,32,Home,0
12,28,Male,Los Angeles,64910.0,54.0,6,22,336,118,Beauty,0
13,41,Female,Dallas,110417.0,25.0,5,5,97,296,Fashion,1
14,53,Female,San Francisco,78251.0,28.0,4,50,316,184,Fashion,0
15,57,Female,Phoenix,55422.0,5.0,4,42,357,191,Groceries,1
16,41,Male,Los Angeles,31984.0,21.0,4,23,326,235,Electronics,1
17,20,Male,San Francisco,109312.0,18.0,9,54,447,238,Sports,1
18,39,Female,Miami,81386.0,47.0,4,15,370,216,Beauty,0
19,19,Female,San Francisco,103291.0,70.0,9,31,32,74,Sports,0
20,41,Female,Houston,27135.0,57.0,10,59,365,111,Home,0
21,61,Female,Dallas,20320.0,93.0,6,9,415,103,Electronics,0
22,47,Male,Miami,122958.0,19.0,10,43,101,359,Fashion,1
23,55,Female,New York,114171.0,97.0,7,58,28,74,Electronics,0
24,19,Male,Chicago,41684.0,65.0,10,53,232,252,Fashion,0
25,38,Male,Dallas,75913.0,3.0,3,25,67,114,Electronics,0
26,50,Female,New York,108774.0,42.0,8,25,68,313,Fashion,0
27,29,Female,Chicago,41889.0,21.0,3,49,328,330,Sports,1
28,39,Female,Houston,115849.0,99.0,1,21,459,339,Sports,0
29,61,Male,San Francisco,118071.0,40.0,10,9,59,238,Sports,1
30,42,Female,Los Angeles,68899.0,67.0,5,55,382,173,Sports,0
31,66,Female,Miami,144011.0,25.0,2,48,299,79,Electronics,0
32,44,Male,Phoenix,30770.0,55.0,10,38,245,93,Fashion,0
33,59,Female,Miami,59321.0,84.0,6,22,475,50,Sports,0
34,45,Male,Houston,105962.0,52.0,10,43,127,285,Electronics,1
35,33,Female,New York,129863.0,44.0,9,23,264,223,Fashion,1
36,32,Male,Phoenix,61777.0,98.0,1,49,274,81,Electronics,0
37,64,Female,Los Angeles,66250.0,85.0,4,4,52,266,Groceries,0
38,68,Female,Houston,93034.0,56.0,1,29,42,155,Sports,0
39,61,Male,Phoenix,124940.0,55.0,1,15,352,233,Home,1
40,69,Male,Houston,60130.0,87.0,8,1,73,316,Electronics,0
41,20,Female,San Francisco,101931.0,70.0,2,54,328,236,Sports,1
42,54,Male,Houston,69346.0,77.0,1,30,68,159,Beauty,0
43,68,Male,Los Angeles,22537.0,87.0,8,29,481,316,Fashion,0
44,24,Male,Dallas,104762.0,73.0,4,20,97,251,Groceries,0
45,38,Male,Chicago,35216.0,81.0,3,33,355,314,Sports,0
46,26,Female,Phoenix,104149.0,66.0,4,41,452,301,Beauty,0
47,56,Female,San Francisco,23009.0,19.0,5,44,377,282,Electronics,1
48,35,Male,Los Angeles,109904.0,83.0,1,36,141,102,Electronics,0
49,21,Male,Houston,49327.0,7.0,1,22,463,51,Beauty,0
50,42,Male,San Francisco,34209.0,63.0,3,13,378,52,Groceries,0
51,31,Male,Los Angeles,68443.0,42.0,6,7,109,209,Beauty,0
52,67,Female,Dallas,35029.0,42.0,1,8,365,307,Fashion,1
53,26,Female,San Francisco,87613.0,59.0,2,28,212,131,Electronics,0
54,43,Male,San Francisco,99443.0,20.0,7,45,435,270,Beauty,1
55,19,Male,Chicago,76997.0,73.0,1,43,396,205,Home,1
56,37,Male,Miami,122171.0,17.0,7,9,482,219,Home,1
57,45,Female,Phoenix,,,4,25,263,257,Beauty,1
58,64,Male,Chicago,82559.0,47.0,10,56,168,185,Fashion,1
59,24,Female,New York,84892.0,2.0,6,16,165,145,Electronics,0
60,61,Male,Phoenix,90409.0,63.0,8,10,497,178,Home,0
61,25,Female,Chicago,28635.0,62.0,9,11,335,14,Beauty,0
62,64,Male,Houston,53065.0,100.0,6,31,397,246,Beauty,0
63,52,Female,Phoenix,131399.0,19.0,9,12,160,187,Sports,1
64,31,Male,Phoenix,140544.0,17.0,4,31,427,337,Beauty,1
65,34,Male,Los Angeles,127340.0,69.0,6,14,305,259,Fashion,1
66,53,Male,Houston,53783.0,39.0,8,51,405,354,Home,0
67,67,Female,New York,54152.0,82.0,9,44,358,40,Sports,0
68,57,Male,Miami,78741.0,71.0,3,32,130,89,Home,0
69,21,Female,San Francisco,127049.0,81.0,2,50,127,125,Home,1
70,19,Female,Dallas,71502.0,39.0,6,53,386,351,Fashion,0
71,23,Male,Chicago,49092.0,36.0,4,17,300,9,Beauty,0
