customer_id,age,gender,marital_status,education,employment_type,annual_income,credit_score,loan_amount,loan_term,interest_rate,existing_loans,debt_to_income_ratio,late_payments,loan_purpose,default
1,59,Male,Married,High School,Salaried,101397.0,757.0,82585,120,14.76,5,84.18,12,Business,0
2,49,Male,Married,PhD,Self-employed,99509.0,344.0,456758,240,19.46,2,460.13,6,Personal,1
3,35,Female,Married,Master,Self-employed,37769.0,533.0,129147,60,24.4,2,346.93,1,Home,1
4,63,Male,Single,PhD,Salaried,198321.0,674.0,20628,36,22.24,2,12.49,1,Car,0
5,28,Male,Single,Master,Salaried,121584.0,846.0,392994,24,9.08,1,315.28,1,Personal,1
6,41,Male,Single,Bachelor,Salaried,66365.0,496.0,264517,24,19.4,3,410.33,9,Personal,1
7,59,Male,Married,PhD,Self-employed,70185.0,324.0,144337,24,10.78,5,195.72,12,Home,1
8,39,Male,Single,PhD,Salaried,153858.0,694.0,422887,12,18.67,5,276.43,10,Personal,1
9,43,Male,Married,Bachelor,Self-employed,146525.0,335.0,396016,240,18.32,4,273.95,8,Personal,1
10,31,Male,Single,PhD,Salaried,152692.0,773.0,279604,120,10.45,0,184.58,2,Personal,1
11,31,Male,Single,Master,Self-employed,56303.0,522.0,264970,240,9.69,2,469.61,12,Business,1
12,44,Female,Single,High School,Self-employed,39589.0,829.0,8477,12,7.08,5,28.84,3,Personal,0
13,56,Male,Single,High School,Self-employed,22882.0,487.0,269346,240,6.01,5,1182.67,0,Car,1
14,60,Male,Married,Bachelor,Self-employed,149236.0,701.0,118846,240,22.17,0,79.53,0,Business,0
15,44,Male,Single,Master,Salaried,175596.0,556.0,356554,24,6.0,4,200.81,3,Business,1
16,23,Male,Single,PhD,Self-employed,29745.0,435.0,249000,36,6.77,5,833.0,13,Education,1
17,42,Female,Married,PhD,Self-employed,35861.0,743.0,373897,24,9.78,5,1038.91,1,Personal,1
18,22,Female,Married,High School,Self-employed,111707.0,717.0,278994,240,22.75,3,249.45,7,Car,1
19,44,Female,Single,PhD,Salaried,74261.0,591.0,240693,36,11.66,0,315.83,12,Car,1
20,64,Female,Single,High School,Salaried,153909.0,428.0,419025,120,8.84,4,272.22,3,Education,1
21,50,Female,Married,Bachelor,Salaried,94135.0,640.0,469102,60,19.31,4,502.34,2,Car,1
22,58,Female,Married,PhD,Salaried,74380.0,556.0,138878,36,11.38,2,183.9,2,Business,1
23,22,Female,Married,Master,Salaried,106089.0,399.0,405379,12,11.67,3,381.99,5,Home,1
24,41,Female,Single,PhD,Salaried,125025.0,338.0,361512,24,19.78,4,290.69,11,Business,1
25,53,Female,Single,High School,Self-employed,189327.0,562.0,267329,24,10.03,3,143.62,12,Home,1
26,32,Female,Single,Bachelor,Self-employed,180592.0,449.0,29718,240,22.94,2,15.46,5,Car,0
27,42,Female,Married,High School,Self-employed,,,475297,240,16.23,0,271.96,5,Personal,1
28,64,Female,Married,PhD,Salaried,178422.0,419.0,192274,240,15.76,5,107.78,5,Home,1
29,45,Female,Married,High School,Self-employed,64397.0,518.0,161287,240,10.3,5,243.81,7,Business,1
30,47,Female,Single,High School,Self-employed,97085.0,422.0,426541,24,21.7,1,437.42,7,Business,1
31,62,Female,Married,Bachelor,Salaried,83865.0,543.0,285602,36,16.45,1,347.04,8,Business,1
32,48,Female,Single,Master,Self-employed,75956.0,817.0,135293,120,8.11,1,184.22,0,Business,0
33,36,Male,Married,PhD,Salaried,,,389486,36,9.13,5,209.57,9,Education,1
34,35,Female,Single,Bachelor,Self-employed,120727.0,489.0,152078,12,14.37,3,124.48,7,Car,1
35,64,Male,Single,Master,Salaried,163978.0,524.0,230152,24,20.59,1,137.72,4,Personal,0
36,23,Female,Married,High School,Salaried,34988.0,765.0,431185,36,23.79,0,1236.24,2,Education,1
37,57,Female,Single,Master,Salaried,178795.0,398.0,81820,24,18.27,4,40.07,10,Car,1
38,27,Male,Married,High School,Self-employed,53800.0,662.0,371158,12,15.12,3,697.67,9,Home,1
39,41,Female,Single,High School,Self-employed,190179.0,382.0,425871,60,10.01,5,216.58,2,Education,1
40,29,Male,Married,Bachelor,Salaried,178502.0,355.0,230751,60,18.46,0,128.57,5,Education,0
41,59,Male,Married,High School,Salaried,183607.0,321.0,86234,60,24.64,5,40.94,7,Education,1
42,38,Male,Single,Bachelor,Self-employed,107329.0,484.0,134282,24,14.52,3,128.4,9,Education,0
43,24,Female,Married,Master,Self-employed,72284.0,821.0,498622,36,8.24,3,679.51,1,Home,1
44,45,Female,Single,Master,Salaried,76232.0,563.0,276246,24,7.07,3,361.51,11,Business,1
45,34,Female,Married,High School,Self-employed,64420.0,524.0,334251,120,10.39,2,517.9,8,Education,1
46,29,Male,Married,Bachelor,Self-employed,57710.0,337.0,239501,36,16.39,4,410.52,4,Car,1
47,46,Male,Married,High School,Self-employed,112035.0,422.0,131328,12,23.94,1,123.31,4,Business,0
48,22,Female,Married,Bachelor,Salaried,191570.0,455.0,419769,240,10.98,2,227.64,0,Home,1
49,40,Female,Single,Bachelor,Salaried,51283.0,600.0,89079,60,11.11,4,171.68,5,Personal,0
50,48,Female,Married,Bachelor,Self-employed,45968.0,366.0,396313,36,14.62,5,862.78,12,Home,1
51,27,Female,Married,Master,Salaried,82508.0,693.0,99437,36,23.37,1,117.43,10,Personal,1
52,64,Female,Single,Bachelor,Self-employed,,,84570,60,13.38,2,57.06,10,Car,0
53,28,Male,Single,Master,Self-employed,105366.0,748.0,97656,12,9.46,2,87.09,4,Personal,1
54,55,Male,Single,Bachelor,Salaried,25738.0,430.0,202937,24,8.26,0,782.99,6,Education,1
55,34,Male,Single,Master,Salaried,23098.0,368.0,385445,24,14.14,2,1674.91,6,Business,1
56,37,Female,Single,PhD,Salaried,115424.0,644.0,177492,240,21.01,3,155.92,3,Business,1
57,56,Male,Single,Master,Self-employed,98672.0,619.0,161454,36,10.83,5,158.86,4,Education,0
58,60,Male,Married,Master,Self-employed,58244.0,476.0,467451,60,15.25,2,798.24,9,Business,1
59,24,Male,Single,High School,Salaried,159325.0,828.0,43795,120,17.06,3,22.5,13,Home,0
60,22,Male,Married,Bachelor,Salaried,74333.0,459.0,56425,12,14.01,4,66.51,7,Education,0
61,26,Male,Single,PhD,Salaried,145349.0,832.0,62402,24,8.83,4,45.53,1,Education,0
62,62,Female,Married,High School,Self-employed,70969.0,434.0,460755,12,23.43,3,648.59,0,Business,1
63,24,Male,Married,Bachelor,Self-employed,110744.0,410.0,212275,12,16.31,0,200.23,13,Personal,1
64,49,Female,Married,PhD,Self-employed,137286.0,582.0,370271,240,19.58,0,259.29,5,Car,1
65,38,Female,Single,PhD,Salaried,195483.0,819.0,243723,12,17.72,4,128.92,10,Personal,1
66,46,Female,Single,PhD,Salaried,95028.0,493.0,421675,60,24.96,5,448.42,13,Home,1
67,64,Female,Single,Bachelor,Self-employed,55421.0,346.0,316793,240,14.13,2,576.94,3,Education,1
68,54,Female,Single,PhD,Salaried,152526.0,641.0,208567,60,13.5,4,137.97,12,Education,1
69,30,Male,Married,PhD,Salaried,168594.0,541.0,100117,240,12.2,4,64.0,9,Home,1
70,56,Male,Single,High School,Salaried,58575.0,821.0,266712,60,12.23,3,456.86,2,Car,1
71,34,Female,Married,Master,Salaried,,,444600,240,10.52,0,1913.22,6,Education,1
72,51,Female,Married,Bachelor,Self-employed,131116.0,430.0,469962,240,24.61,5,356.42,7,Personal,1
73,35,Female,Single,Master,Salaried,147874.0,569.0,214125,36,22.42,3,142.66,10,Home,1
74,28,Male,Single,High School,Self-employed,101311.0,360.0,192350,60,11.33,4,195.68,11,Education,1
75,34,Female,Single,Master,Self-employed,161474.0,463.0,345300,36,11.1,1,220.24,3,Personal,0
76,43,Male,Married,PhD,Salaried,100781.0,824.0,434960,240,7.07,2,435.66,11,Home,1
